forecast_date,as_of_date,corr_match_quality,cosine_match_quality,perm_f1,sign_f1,perm_f2,sign_f2,perm_f3,sign_f3,perm_f4,sign_f4,perm_f5,sign_f5
2014-11-21,2014-11-20,,1.0,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-11-24,2014-11-21,0.9992469428668432,0.9996762201403046,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-11-25,2014-11-24,0.9991859845738427,0.9997018148637474,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-11-26,2014-11-25,0.9993543688683207,0.9996150381160442,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-11-28,2014-11-26,0.9992922294999811,0.999707115788073,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-01,2014-11-28,0.996087445490887,0.9979781025530621,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-02,2014-12-01,0.9989159926092455,0.9978763146422729,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-03,2014-12-02,0.9992999634703628,0.9972005629969489,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-04,2014-12-03,0.9991543582516776,0.9973381564841336,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-05,2014-12-04,0.9993851543089027,0.9975098776104463,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-08,2014-12-05,0.9994325923932479,0.9977684417550894,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-09,2014-12-08,0.9989013375561612,0.9971213859234744,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-10,2014-12-09,0.9994409004861199,0.997146757724318,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-11,2014-12-10,0.9986431347353303,0.9964151994123313,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-12,2014-12-11,0.9990531680382532,0.9970073613057682,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-15,2014-12-12,0.9993907956671126,0.9969484031038567,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-16,2014-12-15,0.9986319849543666,0.9959681057608574,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-17,2014-12-16,0.9994097140422991,0.9960185858483813,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-18,2014-12-17,0.997087894717354,0.9963160271192766,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-19,2014-12-18,0.9983719617091154,0.9958984915721452,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-22,2014-12-19,0.9996335771556,0.9959313165716737,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-23,2014-12-22,0.9947487864796564,0.9960175177815392,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-24,2014-12-23,0.99853209170347,0.9960043889945313,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-29,2014-12-24,0.9985552118351719,0.9953114079036309,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-30,2014-12-29,0.9990889670824602,0.995307730829748,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2014-12-31,2014-12-30,0.9966210487527858,0.9957805357123956,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-05,2014-12-31,0.9988505503566044,0.9952655989781581,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-06,2015-01-05,0.9989161687353745,0.9948650332219483,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-07,2015-01-06,0.9993117119582895,0.9955449255919271,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-08,2015-01-07,0.9980372111928505,0.9947738231242965,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-09,2015-01-08,0.9972305266116506,0.9945810998036799,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-12,2015-01-09,0.9992296278276485,0.9944472999912095,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-13,2015-01-12,0.9991871764823594,0.993813367877664,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-14,2015-01-13,0.997397661408794,0.9940890032505312,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-15,2015-01-14,0.9849506128026946,0.9927525256608364,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-16,2015-01-15,0.9988948821826428,0.9911916500101103,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-20,2015-01-16,0.9986390462052099,0.9921313949450855,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-21,2015-01-20,0.9979522287732447,0.9908816313377592,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-22,2015-01-21,0.9979345304592278,0.9919425169587907,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-23,2015-01-22,0.9964219393178455,0.990518014140234,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-26,2015-01-23,0.9983255566458865,0.9896976792758514,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-27,2015-01-26,0.9989173915064207,0.9894249997089901,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-28,2015-01-27,0.9986204783997144,0.9898652600951932,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-29,2015-01-28,0.996945178695684,0.9911171115644464,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-01-30,2015-01-29,0.9979572933953792,0.9908692181504982,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
2015-02-02,2015-01-30,0.9977994791021816,0.9920344441704334,0,1.0,1,1.0,2,1.0,3,1.0,4,1.0
