,f1,f2,f3,f4,f5
usd_aud,0.029625504524847135,-0.03361369881049007,-0.09093997962851444,0.1310422686134765,0.11916987345723329
usd_brl,-0.10667807259948771,0.015159746323798177,-0.0918809296969243,0.04521575045180663,0.04090316230216529
usd_cny,0.1087014311868995,-0.021024134241913846,-0.029161977647277643,0.12573389919264202,0.10321868150815078
usd_dxy,-0.03676869580802696,-0.07749690692985778,0.006260173677767705,-0.10357935491911831,-0.09619404931311387
usd_twi,0.09177788350434227,0.005350349698642494,-0.11137448238686243,0.21269131220816676,0.16460562834908354
baltic_dry,-0.017694053723699255,0.024951615261838936,-0.014723304281792146,-0.02453878324139108,-0.015151886586792722
china_ip_yoy,0.03926593400586063,0.032618917679492335,0.044029298917382775,0.029937408856730626,0.03923644602393901
china_pmi,0.0016062532758098977,-0.047098512925299554,-0.026300388828004957,-0.04357290282400522,-0.05598662481424793
housing_starts,0.02519032517248811,-0.0012162028165161676,0.03471697742827188,0.011034777470618014,0.009000968315806285
retail_sales_mom,-0.03776445560421485,-0.05805955295592527,-0.04385166360931893,-0.010622440617471382,-0.039365883111073016
us_ip,0.06202447124257221,0.04560529946411007,0.01822475045767287,-0.007999404261392949,-0.0043417242493049915
breakeven_10y,-0.016464036444890723,-0.1658697053312588,0.018925590874823026,0.14301457349036995,-0.03212477013566081
cpi_yoy,0.005996423493512593,0.2146328059663169,-0.1758299102168913,-0.1652181161196424,-0.25438614016898214
energy_cpi,-0.008002701070178149,-0.036946900851307016,0.030543389796287755,-0.048237614307705005,-0.011828781571296439
food_cpi,0.05183905057258839,0.017676011466134386,0.009989890512166784,-0.03621302063958049,-0.026147090784173065
ppi_yoy,-0.10887483222198606,-0.09265968162843766,0.12664767147807088,0.17591369586154723,0.30371081839826797
curve_2s10s,0.042723250130903306,0.0398042662165144,-0.03461978992166474,0.03190931746101077,0.046122374242225136
fed_funds,0.0010519736298974089,0.014603409648254568,-0.029214938166663207,0.0009080370133132126,0.001748253073594335
tips_10y,-0.05188013606731173,-0.08940175334220075,-0.05618707877392839,0.19564155872421393,0.32864735008493184
ust_10y,0.14493556210339145,-0.008717089579066938,-0.014129528142124346,-0.23398391900755186,-0.4239382075719612
ust_2y,-0.023937787665323913,-0.007852165626737719,-0.00012399183120143814,0.024816716625280018,0.03246417224472104
credit_hy_oas,-0.16681383568090546,-0.2221436697690175,-0.14163138409278786,0.08267115278070744,0.04084057056481617
credit_ig_oas,0.0156264010619086,0.10874624258072943,0.22155027612879563,-0.02053831891986439,-0.043685657231847266
move,0.015616381265513976,-0.022143959207437162,0.011776389144532686,0.01267112865782033,0.11330059151552899
vix,0.1343031388178993,0.09086998515401368,0.04660572902150637,0.05423019975161353,0.08672380898001458
eia_crude_inv,0.004815399294182647,-0.003623100367477304,-0.011346872378821007,0.011696057323851006,0.009850284645783445
natgas_storage,-0.009573997121645755,-0.002042740658858732,0.005469668029588431,0.004535009426924055,0.016389153038532323
rig_count,-0.04971933560161616,-0.0907284174918106,-0.008694259644511131,-0.012460222931852212,0.005412549007763096
