commodity,n_forecasts,mse_ar1,mse_vanilla_ae,mae_ar1,mae_vanilla_ae
Coffee,2618,0.0005120687665840373,0.0005263844533725763,0.016965260386408332,0.017224219882822144
SoybeanOil,2618,0.00029055702772489095,0.0002989743458109419,0.012778608209812544,0.012980939384159625
Corn,2618,0.00027463750823396283,0.000282048158801062,0.01154220063539082,0.01171523865750264
Cotton,2618,0.0002939503256784809,0.0003030708476834984,0.011907347532772963,0.01218575644383064
HRWWheat,2618,0.00040219336128641465,0.00041227796858583584,0.015089329563915945,0.015302003363771117
LeanHogs,2618,0.0007824001018367529,0.0008032877626587125,0.015552379762590664,0.01613134892063582
LiveCattle,2618,0.00016128346853101126,0.00016552713605428828,0.008311719029078115,0.008520662113809517
Soybeans,2618,0.00017943029394243147,0.0001844184647344523,0.009643695657242891,0.009813225244308863
Sugar,2618,0.00037724428043087643,0.0003833216612242243,0.014270867644447826,0.01439852370067764
Brent,2618,0.0007259928529167862,0.0007470699157661096,0.018087082130941443,0.018407234396772724
Diesel,2618,0.0007391636457466552,0.0007406310279506503,0.01783226260419382,0.018022335260750286
NaturalGas,2618,0.001984599056723044,0.002037192795679947,0.029801936754766636,0.03019302794931612
WTI,2618,0.0009885878691284508,0.0010109623752166377,0.020081320355008574,0.02052658202099372
Gasoline,2618,0.0008954347710682458,0.0009281478325564867,0.01931913799206372,0.019719297649175665
HeatingOil,2618,0.0006933472672156302,0.0007084361607448691,0.017985818898866385,0.018265687960946964
ThermalCoal,2618,0.0005782316543422148,0.0005932023191646367,0.010568635146395201,0.01093166402523628
Methanol,2618,0.00043096837883456224,0.00043124744469952167,0.01266765923111122,0.012902347365592527
Gold,2618,0.00011572694671164122,0.00011921541533623993,0.00741118334500417,0.00756680152556591
Silver,2618,0.0004901249394604667,0.0005036124061158914,0.014117399273805564,0.014424845489404361
Copper,2618,0.00026047627965538315,0.0002668530356689554,0.011134021430180469,0.011315147987088853
Aluminium,2618,0.0001957995540761669,0.00020135434104347273,0.010289263960370523,0.01049382663613985
Nickel,2618,0.0005538059430786535,0.0005825576356260446,0.01537141552494932,0.015651429123843062
Zinc,2618,0.0002868289535156727,0.00029391638963425647,0.01280995467095684,0.013003568820278826
Platinum,2618,0.00040751476118533415,0.00041773046998297853,0.014252320366510425,0.014516127981222503
HRCSteel,2618,0.00038487033213495235,0.00039247140322619834,0.007634232186019182,0.008171241681499103
SGXIronOre,2618,0.0008482753072545187,0.0008615088371083621,0.016907760152568733,0.017598009127945423
Lithium,2618,0.00010073765462603287,0.00010131825655446662,0.005805344208754269,0.005868322913840631
ALL,70686,0.0005168241222934545,0.0005295088467037525,0.014005116913115801,0.01429071909730114
